id,Name,ext_name,force,Legion,belong,location,identity,loyalty,Merit,command,battlebility,intelligence,politics,charm,five_circles,spearman,Halberd,crossbowmen,cavalry,weapon,Navy,Strong_ID,icon,gender,phase,stunt,stunt_combo,Stunt_description,power_level_1,Level_2,Level_3,Level_4,Level_5,Level_6,debut_year,birth_year,death_year
36,廉颇,,晋重耳,晋重耳,邺,邺,一般,120,2000,94,87,65,55,73,374,极,神,精,熟,熟,初,1,1231,男,23,百战,127-百战,部队战法的消费气力变为五分之一,,,,,,,150,130,229
37,王濬,士治,司马懿,司马懿,寿春,寿春,一般,120,2000,80,74,77,74,61,366,熟,熟,精,初,极,极,0,146,男,28,造船,83-造船,生产舰船之兵装时所需的生产期间减半,,,,,,,150,130,229
38,蔺相如,,晋重耳,晋重耳,邺,邺,一般,120,2000,61,44,89,82,86,362,熟,初,初,熟,初,初,1,1232,男,23,论客,86-论客,於同盟、停战协定、交换俘虏时容易进入舌战,,,,,,,150,130,229
39,庞煖,,,,邺,邺,未发现,0,0,83,49,76,72,66,346,熟,精,极,熟,熟,初,1,1233,男,19,待伏,16-待伏,伏兵成功时施展会心一击,,,,,,,150,130,229
40,李牧,,晋重耳,晋重耳,邺,邺,一般,120,2000,99,76,77,66,65,383,精,极,神,极,熟,初,1,1234,男,23,破竹,135-破竹,打倒敌方部队後，周围敌方部队也会减少气力,,,,,,,150,130,229
41,魏犨,,晋重耳,晋重耳,邺,邺,一般,120,2000,68,92,53,45,59,317,熟,精,熟,初,熟,初,3,1235,男,18,金刚,28-金刚,在敌方攻击力微弱时被攻击的话，有50％的機率不会受到损伤,,,,,,,150,130,229
42,魏绛,,晋重耳,晋重耳,邺,邺,一般,120,2000,75,73,69,82,79,378,精,精,精,熟,精,熟,1,1236,男,18,特技153,,,,,,,,,180,160,259
43,魏舒,,晋重耳,晋重耳,邺,邺,一般,120,2000,81,75,67,75,72,370,精,极,精,初,精,熟,1,1237,男,18,巧变,125-巧变,可无视地形限制施展战法,,,,,,,210,190,289
44,魏斯,,晋重耳,晋重耳,邺,邺,一般,120,2000,56,51,82,92,96,377,初,初,熟,初,初,初,1,1238,男,18,仁政,96-仁政,所属相同的武将之每个月的忠诚不会下降,,,,,,,240,220,319
45,魏无忌,,晋重耳,晋重耳,邺,邺,一般,120,2000,92,66,72,74,97,401,精,极,精,熟,极,初,1,1239,男,18,名声,79-名声,增加徵兵时的士兵数,,,,,,,255,235,334
46,李悝,,晋重耳,晋重耳,邺,邺,一般,120,2000,32,41,77,99,65,314,初,初,初,初,初,初,1,1240,男,19,徵收,90-徵收,每个月所属都市都会有兵粮的收入（一次的收入将减半）,,,,,,,150,130,229
47,西门豹,,,,邺,邺,未发现,0,0,65,53,85,84,86,373,熟,熟,熟,初,熟,初,2,1241,男,19,循史,137-循史,增加建设内政设施的速度,,,,,,,150,130,229
48,翟璜,,晋重耳,晋重耳,邺,邺,一般,120,2000,46,55,79,83,74,337,初,初,初,初,初,初,1,1242,男,17,眼力,85-眼力,若有未发现的在野人士时执行人材探索的话，必定会发现,,,,,,,150,130,229
49,乐羊,,,,邺,邺,未发现,0,0,78,74,62,40,53,307,熟,精,熟,熟,精,初,1,1243,男,16,特技255,,,,,,,,,150,130,229
50,吴起,,,,邺,邺,未发现,0,0,117,69,112,104,65,467,神,神,极,精,极,精,0,1244,男,0,兵神,121-兵神,敌方战法成功率大幅下降,,,,,,,150,130,229
51,庞涓,,晋重耳,晋重耳,邺,邺,一般,120,2000,80,72,69,48,39,308,熟,精,精,熟,精,熟,1,1245,男,16,扫荡,9-扫荡,被攻击的敌方部队气力减少（小）,,,,,,,150,130,229
52,惠施,,,,邺,邺,未发现,0,0,37,29,83,83,82,314,初,初,初,初,初,初,3,1246,男,16,清谈,147-清谈,登用无归属武将失败时进入舌战,,,,,,,150,130,229
53,韩厥,,晋重耳,晋重耳,邺,邺,一般,120,2000,59,68,74,76,85,362,初,精,熟,熟,熟,熟,2,1247,男,19,规律,72-规律,可防止遭受部队计略「伪报」,,,,,,,150,130,229
54,申不害,,晋重耳,晋重耳,邺,邺,一般,120,2000,45,47,76,98,61,327,初,初,熟,初,初,初,2,1248,男,17,法治,140-法治,所在城治安不会下降,,,,,,,150,130,229
55,韩非,,晋重耳,晋重耳,邺,邺,一般,120,2000,51,49,78,102,70,350,初,初,初,初,初,初,3,1249,男,19,精妙,20-精妙,击破敌方部队时所获得的技巧点数增为２倍,,,,,,,195,175,274
56,庄周,子休,,,邺,邺,未发现,0,0,15,38,84,66,75,278,初,初,初,初,初,初,2,1250,男,24,清谈,147-清谈,登用无归属武将失败时进入舌战,,,,,,,150,130,229
57,秦任好,,秦任好,秦任好,长安,长安,君主,120,2000,74,65,77,81,92,389,精,熟,熟,精,初,初,1,1251,男,0,亲羌,92-亲羌,所属都市的领内不会出现異族「羌族」的根据地,,,,,,,150,130,229
58,百里奚,,秦任好,秦任好,长安,长安,一般,120,2000,41,35,85,91,88,340,初,初,熟,初,初,初,1,1252,男,1,能吏,80-能吏,增加生产枪、戟、弩之兵装时的产量,,,,,,,150,130,229
59,蹇叔,,秦任好,秦任好,长安,长安,一般,120,2000,34,26,88,87,81,316,初,初,初,初,初,初,0,1253,男,1,规律,72-规律,可防止遭受部队计略「伪报」,,,,,,,150,130,229
60,贾诩,文和,,,许昌,许昌,未发现,0,0,56,50,94,78,57,335,初,初,初,熟,熟,初,0,42,男,20,料敌,132-料敌,敌方部队所施展部队计略成功的几率大幅降低,,,,,,,150,130,229
61,秦渠梁,,秦任好,秦任好,长安,长安,一般,120,2000,52,56,74,83,86,351,初,初,熟,熟,初,初,0,1254,男,0,特技255,,,,,,,,,195,175,274
62,商鞅,,秦任好,秦任好,长安,长安,一般,120,2000,64,57,81,118,44,364,初,熟,熟,熟,熟,初,0,1255,男,4,变法,139-变法,每旬行动力恢复量增加，穀仓和造币厂作用提升为２倍,,,,,,,150,130,229
63,郭嘉,奉孝,曹操,曹操,许昌,许昌,一般,120,2000,26,15,92,68,62,263,初,初,初,初,初,初,0,43,男,25,倾国,69-倾国,对没有女性的部队施战部队计略成功率增为２倍,,,,,,,150,130,229
64,樗里疾,,秦任好,秦任好,长安,长安,一般,120,2000,88,69,93,72,68,390,熟,精,极,精,极,熟,0,1256,男,0,百出,64-百出,部队计略的消费气力变为１,,,,,,,210,190,289
65,甘茂,,,,长安,长安,未发现,0,0,68,60,78,74,71,351,熟,熟,熟,初,精,熟,1,1257,男,3,特技255,,,,,,,,,150,130,229
66,张仪,,,,长安,长安,未发现,0,0,62,50,95,82,55,344,初,精,熟,初,熟,熟,1,1258,男,149,连环,66-连环,部队计略成功时，与对象部队邻接的部队也会遭受计略波及,,,,,,,150,130,229
67,公孙衍,,晋重耳,晋重耳,邺,邺,一般,120,2000,68,44,89,87,60,348,初,精,精,初,熟,熟,1,1259,男,16,论客,86-论客,於同盟、停战协定、交换俘虏时容易进入舌战,,,,,,,150,130,229
68,魏冉,,秦任好,秦任好,长安,长安,一般,120,2000,83,66,76,78,51,354,熟,精,精,熟,极,精,1,1260,男,149,富豪,87-富豪,每个月的所属都市的资金收入增为1.5倍,,,,,,,150,131,229
69,乐进,文谦,曹操,曹操,许昌,许昌,一般,120,2000,76,88,48,42,55,309,精,熟,初,熟,极,初,1,78,男,22,攻城,17-攻城,攻击据点、设施、建築物时施展会心一击,,,,,,,150,130,229
70,范雎,叔,,,长安,长安,未发现,0,0,44,30,92,85,57,308,初,初,熟,初,初,初,0,1261,男,4,诡计,56-诡计,对智力比自己低的敌方部队施展部队计略「内讧」时，必定会成功,,,,,,,150,130,229
71,白起,,秦任好,秦任好,长安,长安,一般,120,2000,113,83,85,22,45,348,圣,极,神,精,极,熟,0,1262,男,1,战神,123-战神,战法爆击时对敌方部队形成较高的伤害,,,,,,,150,130,229
72,王翦,,秦任好,秦任好,长安,长安,一般,120,2000,98,73,78,64,58,371,精,极,圣,精,极,精,0,1263,男,1,弓神,44-弓神,弩兵战法成功时施展会心一击,,,,,,,150,130,229
73,嬴政,,秦任好,秦任好,长安,长安,一般,120,2000,63,74,86,110,67,400,初,熟,精,初,初,初,0,1264,男,0,威压,95-威压,所属都市的领内不容易出现盗贼或異族的根据地,,,,,,,270,250,349
74,吕不韦,,秦任好,秦任好,长安,长安,一般,120,2000,25,40,84,76,80,305,初,初,初,初,初,初,3,1265,男,2,商才,119-商才,单次交易上限翻倍，且交易效果上升,,,,,,,150,130,229
75,李斯,,秦任好,秦任好,长安,长安,一般,120,2000,22,36,82,97,48,285,初,初,初,初,初,初,0,1266,男,147,法治,140-法治,所在城治安不会下降,,,,,,,150,130,229
76,蒙骜,,秦任好,秦任好,长安,长安,一般,120,2000,82,80,55,41,54,312,精,熟,精,熟,极,初,0,1267,男,2,攻城,17-攻城,攻击据点、设施、建築物时施展会心一击,,,,,,,150,130,229
77,蒙恬,,秦任好,秦任好,长安,长安,一般,120,2000,90,78,68,70,75,381,精,精,极,极,精,初,0,1268,男,2,築城,77-築城,军事设施建设的耐久上昇量增为２倍,,,,,,,180,160,259
78,夏侯渊,妙才,曹操,曹操,许昌,许昌,一般,120,2000,82,82,48,43,51,306,熟,熟,极,极,熟,初,0,6,男,24,突袭,13-突袭,於陆上攻击时，有50％的機率不会受到损伤,,,,,,,210,190,289
79,王贲,,秦任好,秦任好,长安,长安,一般,120,2000,82,79,63,46,46,316,精,精,精,熟,精,熟,0,1269,男,1,神臂,129-神臂,使弩兵的射程增加１区格,,,,,,,165,145,244
80,李信,,,,长安,长安,未发现,0,0,74,81,44,39,38,276,熟,熟,精,精,初,初,0,1270,男,149,长驱,3-长驱,增加骑兵部队的移动力,,,,,,,150,130,229
81,尉缭,,,,长安,长安,未发现,0,0,78,46,91,77,64,356,精,精,熟,熟,精,熟,0,1271,男,3,指导,84-指导,研究技巧时的费用减半,,,,,,,150,130,229
82,章邯,,秦任好,秦任好,长安,长安,一般,120,2000,81,75,59,52,54,321,精,精,熟,精,精,熟,0,1272,男,146,扫荡,9-扫荡,被攻击的敌方部队气力减少（小）,,,,,,,150,130,229
83,甘罗,,,,长安,长安,未发现,0,0,10,10,84,69,70,243,初,初,初,初,初,初,0,1273,男,2,特技255,,,,,,,,,180,160,259
84,司马错,,秦任好,秦任好,长安,长安,一般,120,2000,86,63,79,71,60,359,熟,精,精,初,精,精,1,1274,男,149,踏破,6-踏破,无栈道通行的损害；减轻落石的损伤。,,,,,,,150,130,229
85,夏侯惇,元让,曹操,曹操,许昌,许昌,一般,120,2000,75,84,56,69,67,351,精,熟,初,精,熟,初,0,1007,男,24,屯田,78-屯田,所属於关所、港口时，士兵不会消费兵粮,,,,,,,210,190,289
86,楚熊侣,,楚熊侣,楚熊侣,江陵,江陵,君主,120,2000,81,72,83,90,93,419,精,极,精,初,精,精,0,1275,男,100,威压,95-威压,所属都市的领内不容易出现盗贼或異族的根据地,,,,,,,150,130,229
87,令尹子文,,楚熊侣,楚熊侣,江陵,江陵,一般,120,2000,60,45,93,88,96,382,熟,初,熟,熟,初,精,1,1276,男,101,伯乐,146-伯乐,所在城市可以登用非己方势力所属城市的在野武将,,,,,,,150,130,229
88,慎到,,齐小白,齐小白,北海,北海,一般,120,2000,29,39,77,83,69,297,初,初,初,初,初,初,1,1225,男,63,特技255,,,,,,,,,150,130,229
89,桓石虔,镇恶,,,寿春,寿春,未发现,0,0,74,94,54,52,65,339,精,熟,熟,熟,精,精,1,1868,男,26,血路,33-血路,就算部队溃灭，同部队的武将也不会被俘虏,,,,,,,165,145,244
90,孙叔敖,,楚熊侣,楚熊侣,江陵,江陵,一般,120,2000,74,58,79,89,84,384,熟,熟,初,初,极,精,1,1277,男,97,循史,137-循史,增加建设内政设施的速度,,,,,,,150,130,229
91,申公巫臣,子灵,楚熊侣,楚熊侣,江陵,江陵,一般,120,2000,67,66,88,78,73,372,初,熟,初,初,精,精,2,1278,男,104,指导,84-指导,研究技巧时的费用减半,,,,,,,150,130,229
92,养由基,,楚熊侣,楚熊侣,江陵,江陵,一般,120,2000,71,89,61,37,75,333,初,初,极,初,初,精,2,1279,男,99,狙击,128-狙击,施展射击战法时，使敌将负伤機率增加,,,,,,,150,130,229
93,申包胥,,楚熊侣,楚熊侣,江陵,江陵,一般,120,2000,58,63,71,74,85,351,初,初,初,初,熟,熟,3,1280,男,102,不屈,27-不屈,若在部队的士兵不多时被攻击，有50％的機率不会受到损伤,,,,,,,150,130,229
94,沈尹戌,,楚熊侣,楚熊侣,江陵,江陵,一般,120,2000,82,70,84,79,80,395,熟,精,熟,初,精,精,1,1296,男,100,不屈,27-不屈,若在部队的士兵不多时被攻击，有50％的機率不会受到损伤,,,,,,,180,160,259
95,成得臣,子玉,楚熊侣,楚熊侣,江陵,江陵,一般,120,2000,83,76,56,51,57,323,精,极,精,熟,熟,极,1,1281,男,101,怒发,30-怒发,遭受敌方部队的战法攻击时，气力就会回復,,,,,,,150,130,229
96,昭阳,,楚熊侣,楚熊侣,江陵,江陵,一般,120,2000,78,62,68,70,76,354,熟,精,熟,初,精,精,1,1282,男,98,特技255,,,,,,,,,210,190,289
97,昭雎,,楚熊侣,楚熊侣,江陵,江陵,一般,120,2000,59,59,79,78,66,341,初,熟,熟,初,熟,精,2,1283,男,98,特技255,,,,,,,,,150,130,229
98,关羽,雲长,刘备,刘备,永安,永安,一般,120,2000,83,103,65,42,85,378,精,极,熟,熟,初,精,0,2,男,75,神将,40-神将,对武力比自己低的敌方部队施展一般攻击及战法成功时会心一击,,,,,,,150,130,229
99,陈轸,,,,江陵,江陵,未发现,0,0,24,33,91,72,59,279,初,初,初,初,初,初,3,1284,男,104,诡计,56-诡计,对智力比自己低的敌方部队施展部队计略「内讧」时，必定会成功,,,,,,,150,130,229
100,屈平,原,楚熊侣,楚熊侣,江陵,江陵,一般,120,2000,35,37,75,76,96,319,初,初,初,初,初,熟,1,1285,男,100,诗想,76-诗想,军乐台的回復气力效果增为２倍,,,,,,,150,130,229
101,黄歇,,楚熊侣,楚熊侣,江陵,江陵,一般,120,2000,50,52,83,76,91,352,初,初,初,初,初,熟,1,1286,男,97,名声,79-名声,增加徵兵时的士兵数,,,,,,,150,130,229
102,项燕,,楚熊侣,楚熊侣,江陵,江陵,一般,120,2000,79,77,51,45,62,314,极,精,精,熟,熟,精,1,1287,男,100,突袭,13-突袭,於陆上攻击时，有50％的機率不会受到损伤,,,,,,,150,130,229
103,老聃,,,,江陵,江陵,未发现,0,0,30,42,90,88,118,368,初,初,初,初,初,初,3,1288,男,96,解毒,8-解毒,预防毒泉的伤害,,,,,,,150,130,229
104,荀况,卿,,,江陵,江陵,未发现,0,0,35,31,84,86,82,318,初,初,初,初,初,初,3,1289,男,96,贤哲,138-贤哲,所属势力每月增加一定量的技巧值,,,,,,,150,130,229
105,越勾践,,越勾践,越勾践,会稽,会稽,君主,120,2000,81,75,70,63,69,358,极,极,精,初,初,熟,2,1290,男,120,激励,145-激励,如果使用战法成功，则有機率可再行动一次,,,,,,,150,130,229
106,范蠡,少伯,越勾践,越勾践,会稽,会稽,一般,120,2000,83,50,116,89,79,417,精,精,熟,初,精,精,1,1291,男,116,商才,119-商才,单次交易上限翻倍，且交易效果上升,,,,,,,150,130,229
107,文种,子禽,越勾践,越勾践,会稽,会稽,一般,120,2000,31,36,97,92,63,319,初,初,初,初,初,初,1,2024,男,117,妙计,58-妙计,对智力比自己低的敌方部队施展部队计略成功时会心一击,,,,,,,150,130,229
108,灵姑浮,,越勾践,越勾践,会稽,会稽,一般,120,2000,68,83,35,43,54,283,熟,精,精,初,初,精,1,1293,男,121,亲越,93-亲越,所属都市的领内不会出现異族「山越」的根据地,,,,,,,150,130,229
109,吴阖闾,,吴阖闾,吴阖闾,吴,吴,君主,120,2000,83,74,75,79,82,393,熟,极,熟,初,熟,精,1,1294,男,20,连击,12-连击,施展一般攻击时，有50％的機率可连续攻击２次,,,,,,,165,145,244
110,吴夫差,,吴阖闾,吴阖闾,吴,吴,一般,120,2000,73,81,57,46,69,326,初,熟,熟,初,熟,极,0,1295,男,18,特技255,,,,,,,,,180,160,259
111,吴季札,,吴阖闾,吴阖闾,吴,吴,一般,120,2000,43,47,78,87,97,352,初,初,初,初,初,熟,3,2087,男,23,亲和,142-亲和,实行亲善所能提升的友好度加倍,,,,,,,150,130,229
112,吴庆忌,,吴阖闾,吴阖闾,吴,吴,一般,120,2000,65,96,49,48,90,348,熟,精,精,初,初,极,2,1297,男,24,猛者,51-猛者,以战法让敌方部队移动区格时，有50％的機率可让敌将负伤,,,,,,,180,160,259
113,孙武,长卿,,,吴,吴,未发现,0,0,120,61,105,78,80,444,极,极,精,熟,神,极,1,1298,男,24,兵圣,120-兵圣,部队所受物理伤害减半,,,,,,,195,175,274
114,伍员,子胥,吴阖闾,吴阖闾,吴,吴,一般,120,2000,92,88,84,90,56,410,极,极,精,熟,精,精,1,1299,男,62,怒发,30-怒发,遭受敌方部队的战法攻击时，气力就会回復,,,,,,,150,130,229
115,燕职,,燕职,燕职,北平,北平,君主,120,2000,56,53,73,80,91,353,初,初,初,熟,熟,初,1,1300,男,5,特技255,,,,,,,,,150,130,229
116,谢安,安石,司马懿,司马懿,寿春,寿春,一般,120,2000,49,32,86,109,106,382,初,初,初,初,初,熟,1,2022,男,34,名声,79-名声,增加徵兵时的士兵数,,,,,,,150,130,229
117,郭隗,,燕职,燕职,北平,北平,一般,120,2000,21,27,74,74,78,274,初,初,初,初,初,初,3,1301,男,5,特技255,,,,,,,,,150,130,229
118,甘寧,兴霸,,,长沙,长沙,未发现,0,0,76,92,58,32,50,308,极,熟,精,熟,熟,极,0,1017,男,129,水将,38-水将,对武力比自己低的敌方部队施展水军战法成功时会心一击,,,,,,,210,190,289
119,乐毅,,,,北平,北平,未发现,0,0,96,68,90,94,94,442,极,极,精,精,神,初,0,1302,男,8,攻心,22-攻心,攻击时可将敌方部队的一部分士兵吸收到自军部队中,,,,,,,195,175,274
120,苏秦,季子,,,北平,北平,未发现,0,0,15,31,94,81,64,285,初,初,初,初,初,初,3,1303,男,6,反计,68-反计,若识破部队计略，就可对其施展同样的计略,,,,,,,150,131,229
121,苏代,,,,北平,北平,未发现,0,0,22,29,90,74,60,275,初,初,初,初,初,初,3,2018,男,6,言毒,54-言毒,对智力比自己低的敌方部队施展部队计略「伪报」时，必定会成功,,,,,,,150,130,229
122,剧辛,,,,北平,北平,未发现,0,0,66,51,75,83,71,346,熟,精,熟,精,熟,初,1,1305,男,9,特技255,,,,,,,,,150,130,229
123,盖延,巨卿,刘秀,刘秀,宛,宛,一般,120,2000,73,90,47,29,52,291,精,初,熟,精,熟,初,1,1368,男,68,乱战,15-乱战,於森林中攻击时施展会心一击,,,,,,,150,130,229
124,魏延,文长,,,永安,永安,未发现,0,0,78,82,64,34,41,299,精,精,精,熟,初,熟,0,15,男,80,踏破,6-踏破,无栈道通行的损害；减轻落石的损伤。,,,,,,,150,130,229
125,项梁,,项梁,项梁,下邳,下邳,君主,120,2000,77,72,72,62,81,364,精,精,熟,初,初,精,0,1306,男,100,特技255,,,,,,,,,165,145,244
126,项籍,羽,项梁,项梁,下邳,下邳,一般,120,2000,99,120,62,26,70,377,极,神,精,神,熟,精,0,1307,男,100,霸王,48-霸王,全战法成功时施展会心一击,,,,,,,180,160,259
127,叔向,,晋重耳,晋重耳,邺,邺,一般,120,2000,52,58,81,84,93,368,初,初,初,初,初,初,1,1220,男,25,明镜,74-明镜,可防止遭受部队计略的「伪报、擾乱」,,,,,,,180,160,259
128,子产,,晋重耳,晋重耳,邺,邺,一般,120,2000,64,56,86,93,94,393,熟,精,熟,初,熟,初,1,1223,男,26,指导,84-指导,研究技巧时的费用减半,,,,,,,150,130,229
129,范增,,项梁,项梁,下邳,下邳,一般,120,2000,42,19,97,80,63,301,熟,初,初,初,熟,初,0,1310,男,101,看破,60-看破,必定可识破智力比自己低的敌方部队所施展部队计略,,,,,,,150,130,229
